artist,method,n_pairs,clip_vanilla,clip_method,clip_drop,style_vanilla,style_method,style_drop,style_target_rate,clip_image_similarity,lpips,fid,kid,resnet_top1_agreement,resnet_top5_overlap,dino_similarity,run_mode
Van Gogh,ESD-x,50.0,0.3348279655456543,0.27550308761596676,0.05932487792968755,0.3037837779998779,0.22926685523986814,0.07451692276000974,0.32,0.7288552606105805,0.658731859922409,259.19104898972444,0.06523698624840553,0.08,0.172,0.5129457617551089,fair-eval
Van Gogh,UCE,50.0,0.3348279655456543,0.3072158878326416,0.027612077713012717,0.3037837779998779,0.2581933334350586,0.045590444564819255,0.5,0.7776748180389405,0.7628918862342835,256.17606365173515,0.05865773445471957,0.14,0.19999999999999996,0.5828158244490623,official-replication
Van Gogh,Concept Ablation,50.0,0.3348279655456543,0.3190623538970947,0.015765611648559608,0.3037837779998779,0.27060369606018064,0.03318008193969724,0.64,0.8119429230690003,0.7537239038944245,213.42956199700114,0.03651346372767873,0.14,0.256,0.6249648249149322,official-replication
Van Gogh,SPACE,50.0,0.3348279655456543,0.30728675689697266,0.027541208648681648,0.3037837779998779,0.2578895805358887,0.045894197463989206,0.46,0.7839521265029907,0.5886596208810806,243.7480605886106,0.06128423660714268,0.14,0.212,0.6168090009689331,research-method
Van Gogh,SPACE-v2R e175,50.0,0.3348279655456543,0.28245841903686525,0.052369546508789055,0.3037837779998779,0.23894445266723632,0.06483932533264156,0.22,0.7320108413696289,0.6368701916933059,262.59571808190924,0.0693322157206632,0.1,0.12400000000000003,0.5328062808513642,research-method
MEAN,Concept Ablation,50.0,0.3348279655456543,0.3190623538970947,0.015765611648559608,0.3037837779998779,0.27060369606018064,0.03318008193969724,0.64,0.8119429230690003,0.7537239038944245,213.42956199700114,0.03651346372767873,0.14,0.256,0.6249648249149322,official-replication
MEAN,ESD-x,50.0,0.3348279655456543,0.27550308761596676,0.05932487792968755,0.3037837779998779,0.22926685523986814,0.07451692276000974,0.32,0.7288552606105805,0.658731859922409,259.19104898972444,0.06523698624840553,0.08,0.172,0.5129457617551089,fair-eval
MEAN,SPACE,50.0,0.3348279655456543,0.30728675689697266,0.027541208648681648,0.3037837779998779,0.2578895805358887,0.045894197463989206,0.46,0.7839521265029907,0.5886596208810806,243.7480605886106,0.06128423660714268,0.14,0.212,0.6168090009689331,research-method
MEAN,SPACE-v2R e175,50.0,0.3348279655456543,0.28245841903686525,0.052369546508789055,0.3037837779998779,0.23894445266723632,0.06483932533264156,0.22,0.7320108413696289,0.6368701916933059,262.59571808190924,0.0693322157206632,0.1,0.12400000000000003,0.5328062808513642,research-method
MEAN,UCE,50.0,0.3348279655456543,0.3072158878326416,0.027612077713012717,0.3037837779998779,0.2581933334350586,0.045590444564819255,0.5,0.7776748180389405,0.7628918862342835,256.17606365173515,0.05865773445471957,0.14,0.19999999999999996,0.5828158244490623,official-replication
